Date,TWD,TWS
2016-09-25 10:54:01,288,27.855
2016-09-25 10:54:05,285,26.3558
2016-09-25 10:54:09,272,26.1291
2016-09-25 10:54:13,284,24.6553
2016-09-25 10:54:17,284,23.914
2016-09-25 10:54:21,269,25.0363
2016-09-25 10:54:25,290,25.4344
2016-09-25 10:54:29,244,27.783
2016-09-25 10:54:34,304,27.4772
2016-09-25 10:54:38,292,25.1357
2016-09-25 10:54:42,323,26.3318
2016-09-25 10:54:46,327,24.9771
2016-09-25 10:54:50,255,26.2292
2016-09-25 10:54:54,240,27.8131
2016-09-25 10:54:58,259,23.906
2016-09-25 10:55:02,269,21.1056
2016-09-25 10:55:06,297,20.2686
2016-09-25 10:55:10,350,23.3104
2016-09-25 10:55:14,314,23.4288
2016-09-25 10:55:18,275,21.7128
2016-09-25 10:55:22,273,19.6431
2016-09-25 10:55:26,317,21.2115
2016-09-25 10:55:30,243,24.9025
2016-09-25 10:55:34,283,21.2959
2016-09-25 10:55:38,309,21.6052
2016-09-25 10:55:42,278,23.052
2016-09-25 10:55:46,272,24.5462
2016-09-25 10:55:50,260,24.1406
2016-09-25 10:55:54,265,24.2692
2016-09-25 10:55:58,236,26.7468
2016-09-25 10:56:02,259,25.3542
2016-09-25 10:56:06,304,23.9111
2016-09-25 10:56:10,275,23.5998
2016-09-25 10:56:14,247,24.3005
2016-09-25 10:56:18,265,22.8699
2016-09-25 10:56:22,306,22.3341
2016-09-25 10:56:26,236,22.7524
2016-09-25 10:56:30,241,23.971
2016-09-25 10:56:34,256,25.2357
2016-09-25 10:56:38,255,25.1032
2016-09-25 10:56:42,260,25.4382
2016-09-25 10:56:46,278,24.1436
2016-09-25 10:56:50,241,22.4953
2016-09-25 10:56:54,301,23.1769
2016-09-25 10:56:58,317,25.0237
2016-09-25 10:57:02,294,24.4704
2016-09-25 10:57:07,301,26.431
2016-09-25 10:57:11,268,23.7801
2016-09-25 10:57:15,272,25.0696
2016-09-25 10:57:19,265,25.0964
2016-09-25 10:57:23,240,22.6036
2016-09-25 10:57:27,353,32.3871
2016-09-25 10:57:31,317,32.0569
2016-09-25 10:57:35,290,31.7762
2016-09-25 10:57:39,273,29.0551
2016-09-25 10:57:43,266,27.0204
2016-09-25 10:57:47,252,27.3877
2016-09-25 10:57:51,250,28.7404
2016-09-25 10:57:55,230,23.0313
2016-09-25 10:57:59,226,22.2606
2016-09-25 10:58:03,228,24.6812
2016-09-25 10:58:07,294,32.9596
2016-09-25 10:58:11,266,30.5769
2016-09-25 10:58:15,257,31.5386
2016-09-25 10:58:19,267,27.0425
2016-09-25 10:58:23,280,26.0397
2016-09-25 10:58:27,285,23.1213
2016-09-25 10:58:31,279,20.3641
2016-09-25 10:58:35,291,20.3237
2016-09-25 10:58:39,281,21.1029
2016-09-25 10:58:43,269,22.1907
2016-09-25 10:58:47,270,22.025
2016-09-25 10:58:51,266,22.0379
2016-09-25 10:58:55,250,22.1541
2016-09-25 10:58:59,254,19.428
2016-09-25 10:59:03,255,17.9534
2016-09-25 10:59:07,253,19.2672
2016-09-25 10:59:11,247,18.0584
2016-09-25 10:59:15,251,19.3222
2016-09-25 10:59:19,252,19.1528
2016-09-25 10:59:24,247,19.3799
2016-09-25 10:59:28,255,19.6462
2016-09-25 10:59:32,262,17.4123
2016-09-25 10:59:36,260,17.6823
2016-09-25 10:59:40,256,18.2105
2016-09-25 10:59:44,267,19.3858
2016-09-25 10:59:48,273,16.499
2016-09-25 10:59:52,269,16.7657
2016-09-25 10:59:56,269,18.454
2016-09-25 11:00:00,274,20.2447
2016-09-25 11:00:04,272,21.916
2016-09-25 11:00:08,268,21.8717
2016-09-25 11:00:12,267,21.729
2016-09-25 11:00:16,268,20.9422
2016-09-25 11:00:20,271,18.9972
2016-09-25 11:00:24,269,18.742
2016-09-25 11:00:28,260,17.8033
2016-09-25 11:00:32,282,18.0458
2016-09-25 11:00:36,284,18.719
2016-09-25 11:00:40,277,18.9756
2016-09-25 11:00:44,269,22.0915
2016-09-25 11:00:48,273,19.6439
2016-09-25 11:00:52,259,18.6056
2016-09-25 11:00:56,247,20.4118
2016-09-25 11:01:00,257,18.0071
2016-09-25 11:01:04,259,20.0899
2016-09-25 11:01:08,260,22.1189
2016-09-25 11:01:12,271,21.8811
2016-09-25 11:01:16,275,21.979
2016-09-25 11:01:20,269,21.8499
2016-09-25 11:01:24,274,21.0468
2016-09-25 11:01:28,283,18.8954
2016-09-25 11:01:32,286,20.943
2016-09-25 11:01:36,284,21.4613
2016-09-25 11:01:40,271,21.6527
2016-09-25 11:01:44,272,21.2234
2016-09-25 11:01:48,261,21.1056
2016-09-25 11:01:52,258,19.7901
2016-09-25 11:01:57,263,19.7675
2016-09-25 11:02:01,258,20.4257
2016-09-25 11:02:05,260,19.3907
2016-09-25 11:02:09,249,20.0376
2016-09-25 11:02:13,251,20.4441
2016-09-25 11:02:17,251,22.3621
2016-09-25 11:02:21,256,20.8182
2016-09-25 11:02:25,257,20.6723
2016-09-25 11:02:29,272,20.4301
2016-09-25 11:02:33,262,21.3313
2016-09-25 11:02:37,276,18.5784
2016-09-25 11:02:41,260,22.0748
2016-09-25 11:02:45,263,21.9087
2016-09-25 11:02:49,255,21.6849
2016-09-25 11:02:53,254,23.0735
2016-09-25 11:02:57,254,23.0857
2016-09-25 11:03:01,259,21.1084
2016-09-25 11:03:05,263,22.5387
2016-09-25 11:03:09,262,23.895
2016-09-25 11:03:13,279,21.7594
2016-09-25 11:03:17,277,21.6061
2016-09-25 11:03:21,272,22.0657
2016-09-25 11:03:25,256,23.1562
2016-09-25 11:03:29,257,23.0738
2016-09-25 11:03:33,268,21.8118
2016-09-25 11:03:37,256,22.8843
2016-09-25 11:03:41,259,24.3916
2016-09-25 11:03:45,265,24.9306
2016-09-25 11:03:49,255,25.4187
2016-09-25 11:03:53,275,20.5822
2016-09-25 11:03:57,269,21.237
2016-09-25 11:04:01,264,22.5967
2016-09-25 11:04:05,288,17.872
2016-09-25 11:04:09,284,20.0504
2016-09-25 11:04:13,266,23.5889
2016-09-25 11:04:18,256,24.8995
2016-09-25 11:04:22,259,26.4981
2016-09-25 11:04:26,261,25.9771
2016-09-25 11:04:30,259,25.6429
2016-09-25 11:04:34,258,23.0109
2016-09-25 11:04:38,259,24.1728
2016-09-25 11:04:42,269,22.9916
2016-09-25 11:04:46,294,21.8608
2016-09-25 11:04:50,274,24.4608
2016-09-25 11:04:54,262,25.9056
2016-09-25 11:04:58,264,25.5775
2016-09-25 11:05:02,280,20.332
2016-09-25 11:05:06,261,22.092
2016-09-25 11:05:10,275,19.4723
2016-09-25 11:05:14,267,21.3018
2016-09-25 11:05:18,258,21.9403
2016-09-25 11:05:22,270,21.9944
2016-09-25 11:05:26,292,20.0292
2016-09-25 11:05:30,267,24.132
2016-09-25 11:05:34,260,23.95
2016-09-25 11:05:38,258,22.5013
2016-09-25 11:05:42,257,20.9801
